n_train,n_test,batch,pred_unknown,sig2e,beta,sig2b0,q0,re_prior,experiment,exp_type,mse,mae,r2,frobenius,spearman,nrmse,auc_embed,metric_pre_post,sig2e_est,sig2b_est0,nll_train,nll_test,n_epochs,time,n_params,encoder,decoder,patience
10000,10000,1000,FALSE,1,0.001,1,1000,2,0,mmbeddings,2.8033,1.30511,0.483832,0.517334,0.280814,0.210456,0.596902,2.84834,,0.667811,,,183,26.426,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,2,1,mmbeddings,3.29422,1.39112,0.406852,0.608257,0.223307,0.279617,0.691376,3.28413,,0.41662,,,168,17.0879,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,2,2,mmbeddings,2.79665,1.31702,0.367175,0.541,0.156996,0.216242,0.577012,2.84736,,0.520415,,,208,23.9474,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,2,3,mmbeddings,3.13244,1.38578,0.47404,0.521161,0.219198,0.205989,0.692758,3.18574,,0.926563,,,198,17.7688,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,2,4,mmbeddings,2.56761,1.26152,0.483721,0.493035,0.247732,0.199455,0.686988,2.64996,,0.765993,,,189,22.2322,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,2,5,mmbeddings,3.48205,1.4507,0.580916,0.487222,0.390279,0.219198,0.653098,3.4768,,1.16652,,,283,27.4264,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,2,6,mmbeddings,3.21291,1.3958,0.484182,0.515101,0.304416,0.210426,0.615082,3.28536,,0.744463,,,192,16.3099,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,2,7,mmbeddings,2.73089,1.29913,0.453849,0.630028,0.252358,0.289044,0.692512,2.78539,,0.32829,,,268,22.0836,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,2,8,mmbeddings,3.62057,1.46393,0.324813,0.593702,0.197499,0.286253,0.763816,3.67198,,0.51352,,,238,20.1187,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,2,9,mmbeddings,2.78837,1.30653,0.499029,0.547905,0.251885,0.212798,0.775204,2.96526,,0.541362,,,208,23.4533,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,2,10,mmbeddings,3.5762,1.47068,0.508296,0.61848,0.272473,0.299385,0.75568,3.65525,,0.552654,,,263,25.4386,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,2,11,mmbeddings,2.8951,1.33387,0.475641,0.586908,0.21677,0.255825,0.801082,2.98342,,0.487794,,,221,22.3153,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,2,12,mmbeddings,3.02053,1.34565,0.474758,0.499943,0.300566,0.221368,0.732152,3.22221,,0.693875,,,258,26.4867,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,2,13,mmbeddings,3.02607,1.37297,0.329889,0.550939,0.14224,0.244934,0.63752,3.02203,,0.586201,,,199,20.6492,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,2,14,mmbeddings,3.38675,1.42661,0.314472,0.604387,0.158295,0.28989,0.695776,3.50641,,0.458446,,,195,19.5961,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,2,15,mmbeddings,3.22163,1.39084,0.498577,0.559764,0.279789,0.226376,0.785406,3.4651,,0.691437,,,168,16.4296,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,2,16,mmbeddings,3.47823,1.45439,0.475766,0.548708,0.265442,0.244531,0.754166,3.62752,,0.806529,,,178,19.4427,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,2,17,mmbeddings,2.91731,1.3376,0.6054,0.465976,0.449886,0.18792,0.88722,3.2161,,1.22234,,,203,23.1716,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,2,18,mmbeddings,2.87373,1.33534,0.445584,0.56115,0.181189,0.241906,0.729796,2.96392,,0.536099,,,171,19.2627,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,2,19,mmbeddings,2.88915,1.31132,0.558781,0.432185,0.378148,0.169243,0.773336,2.94751,,1.01625,,,150,18.0087,13651,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,0.1,0,mmbeddings,3.46719,1.41536,0.386758,0.845788,0.203097,0.315112,0.694469,3.59217,,0.069813,,,322,51.4104,13651,"[100, 100]","[10, 10]",10
