n_train,n_test,batch,pred_unknown,sig2e,beta,sig2b0,q0,experiment,exp_type,auc,logloss,accuracy,frobenius,spearman,nrmse,auc_embed,metric_pre_post,sig2e_est,sig2b_est0,nll_train,nll_test,n_epochs,time,n_params,encoder,decoder,patience
1000,100000,100,FALSE,1,0.001,1,100,7,embeddings-l2,0.80046,0.581177,0.72882,0.991586,0.105058,0.472789,0.5896,,,0.000238231,,,111,6.99073,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,7,hashing,0.813647,0.532614,0.74042,,,,,,,,,,37,6.26266,10471,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,7,regbeddings,0.721804,0.620019,0.66442,0.877977,0.0832697,0.41862,0.6208,,,0.0526733,,,84,8.65715,2331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,7,tabtransformer,0.786002,0.639465,0.71414,,,,,,,,,,41,13.0668,8687,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,7,mmbeddings,0.788804,0.689948,0.71622,0.66116,0.0911997,0.315241,0.6924,0.800443,,0.420239,,,132,16.3398,13651,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,8,ignore,0.695913,0.636639,0.64277,,,,,,,,,,46,4.71531,231,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,8,mean-encoding,0.71043,0.625115,0.65545,,,,,,,,,,33,4.88364,331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,8,embeddings,0.811087,0.548015,0.74001,0.931765,0.134925,0.516465,0.6132,,,0.0130053,,,31,4.20095,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,8,embeddings-l2,0.766463,0.579835,0.69839,0.990534,0.0647242,0.54904,0.5292,,,0.000307449,,,43,6.10561,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,8,hashing,0.802944,0.604149,0.70688,,,,,,,,,,26,5.58469,10471,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,8,regbeddings,0.591374,0.681742,0.56295,0.974627,0.0413114,0.540223,0.636,,,0.00159692,,,17,4.45012,2331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,8,tabtransformer,0.779014,0.587636,0.71614,,,,,,,,,,19,12.2638,8687,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,8,mmbeddings,0.829609,0.72221,0.7496,0.620419,0.183884,0.34389,0.6592,0.827817,,0.447529,,,165,19.3108,13651,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,9,ignore,0.647911,0.661295,0.6094,,,,,,,,,,46,4.98351,231,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,9,mean-encoding,0.682742,0.674123,0.63287,,,,,,,,,,156,8.44074,331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,9,embeddings,0.819935,0.570768,0.75066,0.925442,0.178683,0.495005,0.7228,,,0.0158614,,,36,6.43995,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,9,embeddings-l2,0.814704,0.556712,0.73946,0.989768,0.145677,0.529411,0.7176,,,0.000334268,,,73,6.5018,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,9,hashing,0.847129,0.52575,0.77018,,,,,,,,,,62,6.26423,10471,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,9,regbeddings,0.552118,0.690298,0.5384,0.967756,0.127175,0.517638,0.7144,,,0.00278288,,,16,5.21421,2331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,9,tabtransformer,0.818652,0.584141,0.74994,,,,,,,,,,26,13.5805,8687,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,9,mmbeddings,0.823803,0.542253,0.74651,0.604561,0.173737,0.32337,0.7996,0.803424,,0.664383,,,29,7.43255,13651,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,10,ignore,0.681432,0.654188,0.63224,,,,,,,,,,11,2.79499,231,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,10,mean-encoding,0.728082,0.612199,0.66705,,,,,,,,,,32,4.79573,331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,10,embeddings,0.80947,0.579859,0.74077,0.908784,0.0707828,0.446308,0.6736,,,0.0181602,,,51,6.04887,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,10,embeddings-l2,0.789853,0.558356,0.71604,0.988278,0.0833587,0.485349,0.614,,,0.000363239,,,39,5.28719,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,10,hashing,0.815829,0.554305,0.74334,,,,,,,,,,46,8.88954,10471,"[100, 100]","[10, 10]",10
