n_train,n_test,batch,pred_unknown,sig2e,beta,sig2b0,q0,d,experiment,exp_type,mse,mae,r2,frobenius,spearman,nrmse,auc_embed,metric_pre_post,sig2e_est,sig2b_est0,nll_train,nll_test,n_epochs,time,n_params,encoder,decoder,patience
10000,100000,1000,FALSE,1,0.001,1,1000,20,18,mmbeddings,3.42362,1.4238,0.505326,0.559702,0.322018,0.252134,0.70021,3.5027,,0.304543,,,233,20.9587,15771,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,20,19,mmbeddings,3.57794,1.4442,0.431276,0.553685,0.296641,0.23045,0.714144,3.71861,,0.278698,,,180,17.4219,15771,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,5,0,mmbeddings,4.07538,1.548,0.587954,0.669977,0.41878,0.232192,0.756495,4.11752,,0.947581,,,376,105.645,12591,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,5,1,mmbeddings,3.21297,1.40218,0.458632,0.712676,0.236812,0.267256,0.665217,3.25692,,0.53518,,,452,58.7668,12591,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,5,2,mmbeddings,3.02266,1.33603,0.484003,0.698118,0.317081,0.270766,0.721371,3.1944,,0.46528,,,509,70.4053,12591,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,5,3,mmbeddings,3.18926,1.38114,0.453862,0.686988,0.258153,0.265296,0.713728,3.27734,,0.559112,,,371,59.7292,12591,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,5,4,mmbeddings,3.99499,1.53174,0.393687,0.695995,0.247205,0.263446,0.769181,4.16097,,0.70788,,,338,51.0558,12591,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,5,5,mmbeddings,3.5137,1.44005,0.472883,0.706696,0.295578,0.234233,0.691117,3.62686,,0.540703,,,424,51.771,12591,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,5,6,mmbeddings,2.9461,1.34474,0.448605,0.675269,0.261593,0.256393,0.682289,3.0034,,0.566086,,,426,59.132,12591,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,5,7,mmbeddings,2.97779,1.35446,0.469001,0.664654,0.295808,0.247133,0.775116,3.03517,,0.580315,,,408,53.4801,12591,"[100, 100]","[10, 10]",10
