experiment,batch_size,beta_vae,d,re_sig2b_prior,n_neurons_encoder,n_neurons_decoder,patience,exp_type,auc,logloss,accuracy,sigma_b0_est,sigma_b1_est,auc_pre_post,n_epoch,time,n_params
9,1000,0.1,10,0.5,[100],"[10, 10]",10,mmcf,0.704596,0.636059,0.64875,0.238863,0.0959531,0.620612,34,407.658,5481
0,10000,0.1,10,0.5,[100],"[10, 10]",2,ncf,0.675238,0.666596,0.64425,,,,19,11.4037,1204884
0,10000,0.1,10,0.5,[100],"[10, 10]",2,mmcf,0.707891,0.632866,0.64765,0.251562,0.0948587,0.660665,32,64.6409,5481
1,10000,0.1,10,0.5,[100],"[10, 10]",2,ncf,0.675262,0.690007,0.64535,,,,19,11.7218,1204884
1,10000,0.1,10,0.5,[100],"[10, 10]",2,mmcf,0.699902,0.660739,0.64195,0.257385,0.0936396,0.636623,30,62.8809,5481
2,10000,0.1,10,0.5,[100],"[10, 10]",2,ncf,0.661425,0.66634,0.6247,,,,18,11.2792,1204884
2,10000,0.1,10,0.5,[100],"[10, 10]",2,mmcf,0.706316,0.6425,0.6513,0.259041,0.094713,0.614849,41,100.525,5481
3,10000,0.1,10,0.5,[100],"[10, 10]",2,ncf,0.681193,0.649347,0.647,,,,20,11.8883,1204884
3,10000,0.1,10,0.5,[100],"[10, 10]",2,mmcf,0.704315,0.643241,0.65,0.251368,0.0947191,0.652976,33,126.885,5481
4,10000,0.1,10,0.5,[100],"[10, 10]",2,ncf,0.690398,0.658483,0.65095,,,,17,11.7713,1204884
4,10000,0.1,10,0.5,[100],"[10, 10]",2,mmcf,0.707225,0.633994,0.6511,0.251809,0.0948761,0.648953,45,127.22,5481
5,10000,0.1,10,0.5,[100],"[10, 10]",2,ncf,0.685048,0.654149,0.65125,,,,17,11.8817,1204884
5,10000,0.1,10,0.5,[100],"[10, 10]",2,mmcf,0.70181,0.637743,0.6506,0.255497,0.09421,0.627929,36,92.7879,5481
6,10000,0.1,10,0.5,[100],"[10, 10]",2,ncf,0.685982,0.646799,0.6572,,,,19,22.0033,1204884
6,10000,0.1,10,0.5,[100],"[10, 10]",2,mmcf,0.70134,0.644197,0.6514,0.253434,0.0940748,0.637611,32,128.275,5481
7,10000,0.1,10,0.5,[100],"[10, 10]",2,ncf,0.702392,0.653262,0.6519,,,,19,22.1435,1204884
7,10000,0.1,10,0.5,[100],"[10, 10]",2,mmcf,0.704382,0.638796,0.65185,0.251318,0.0941941,0.666134,27,69.5175,5481
8,10000,0.1,10,0.5,[100],"[10, 10]",2,ncf,0.672037,0.664133,0.64115,,,,18,12.5307,1204884
8,10000,0.1,10,0.5,[100],"[10, 10]",2,mmcf,0.702984,0.646539,0.6494,0.25753,0.0934906,0.642248,35,118.084,5481
9,10000,0.1,10,0.5,[100],"[10, 10]",2,ncf,0.681977,0.684894,0.6449,,,,19,22.3984,1204884
9,10000,0.1,10,0.5,[100],"[10, 10]",2,mmcf,0.704849,0.641349,0.65055,0.248694,0.0954569,0.650026,39,129.374,5481
0,10000,0.1,10,0.5,[100],"[10, 10]",5,ncf,0.670934,0.793918,0.6385,,,,20,12.5399,1204884
0,10000,0.1,10,0.5,[100],"[10, 10]",5,mmcf,0.705504,0.634777,0.65245,0.249523,0.0947636,,47,108.284,5481
1,10000,0.1,10,0.5,[100],"[10, 10]",5,ncf,0.613778,0.769695,0.57635,,,,25,13.4998,1204884
1,10000,0.1,10,0.5,[100],"[10, 10]",5,mmcf,0.700557,0.641381,0.6544,0.24897,0.0943365,,37,89.5896,5481
2,10000,0.1,10,0.5,[100],"[10, 10]",5,ncf,0.664968,0.720468,0.63135,,,,21,14.023,1204884
2,10000,0.1,10,0.5,[100],"[10, 10]",5,mmcf,0.708246,0.635178,0.65465,0.246552,0.0963887,,49,126.957,5481
3,10000,0.1,10,0.5,[100],"[10, 10]",5,ncf,0.677538,0.72202,0.6271,,,,27,15.4251,1204884
3,10000,0.1,10,0.5,[100],"[10, 10]",5,mmcf,0.704591,0.638563,0.6547,0.247954,0.0952097,,42,141.25,5481
4,10000,0.1,10,0.5,[100],"[10, 10]",5,ncf,0.674847,0.721982,0.6363,,,,29,18.2039,1204884
4,10000,0.1,10,0.5,[100],"[10, 10]",5,mmcf,0.708014,0.630549,0.65565,0.248361,0.0952419,,47,135.208,5481
5,10000,0.1,10,0.5,[100],"[10, 10]",5,ncf,0.668984,0.840471,0.6297,,,,23,22.5595,1204884
5,10000,0.1,10,0.5,[100],"[10, 10]",5,mmcf,0.70257,0.639769,0.653,0.248905,0.0954005,,53,134.634,5481
6,10000,0.1,10,0.5,[100],"[10, 10]",5,ncf,0.664551,0.784541,0.62635,,,,21,14.2174,1204884
6,10000,0.1,10,0.5,[100],"[10, 10]",5,mmcf,0.698825,0.650647,0.65155,0.248828,0.0960219,,33,104.453,5481
7,10000,0.1,10,0.5,[100],"[10, 10]",5,ncf,0.679619,0.766746,0.637,,,,22,15.4975,1204884
7,10000,0.1,10,0.5,[100],"[10, 10]",5,mmcf,0.70312,0.638701,0.65395,0.248997,0.0940595,,35,167.93,5481
8,10000,0.1,10,0.5,[100],"[10, 10]",5,ncf,0.67061,0.827163,0.63095,,,,22,22.2166,1204884
8,10000,0.1,10,0.5,[100],"[10, 10]",5,mmcf,0.703163,0.636418,0.6548,0.247281,0.0950677,,50,170.031,5481
9,10000,0.1,10,0.5,[100],"[10, 10]",5,ncf,0.663099,0.78656,0.63225,,,,21,15.9647,1204884
9,10000,0.1,10,0.5,[100],"[10, 10]",5,mmcf,0.707029,0.63766,0.65735,0.249135,0.095544,,47,133.234,5481
0,10000,0.1,10,0.1,[100],"[10, 10]",10,ncf,0.654681,0.852393,0.6034,,,,30,22.1444,1204884
0,10000,0.1,10,0.5,[100],"[10, 10]",10,mmcf,0.705232,0.633681,0.658,0.247576,0.095312,0.668172,68,228.649,5481
1,10000,0.1,10,0.1,[100],"[10, 10]",10,ncf,0.65434,1.04655,0.61115,,,,28,22.1342,1204884
1,10000,0.1,10,0.5,[100],"[10, 10]",10,mmcf,0.704528,0.635793,0.6576,0.246709,0.0943114,0.659308,45,147.698,5481
2,10000,0.1,10,0.1,[100],"[10, 10]",10,ncf,0.663409,0.974031,0.618,,,,26,22.0542,1204884
2,10000,0.1,10,0.5,[100],"[10, 10]",10,mmcf,0.701442,0.636488,0.65445,0.247126,0.0958502,0.669198,62,162.548,5481
3,10000,0.1,10,0.1,[100],"[10, 10]",10,ncf,0.637217,1.08897,0.60435,,,,25,13.9159,1204884
3,10000,0.1,10,0.5,[100],"[10, 10]",10,mmcf,0.705638,0.633036,0.6537,0.247315,0.0955793,0.664219,57,118.041,5481
4,10000,0.1,10,0.1,[100],"[10, 10]",10,ncf,0.648469,1.07994,0.60375,,,,30,16.3603,1204884
4,10000,0.1,10,0.5,[100],"[10, 10]",10,mmcf,0.704136,0.637059,0.64745,0.247497,0.0950559,0.661185,71,194.234,5481
5,10000,0.1,10,0.1,[100],"[10, 10]",10,ncf,0.644567,0.976856,0.60795,,,,31,17.0882,1204884
5,10000,0.1,10,0.5,[100],"[10, 10]",10,mmcf,0.702166,0.638257,0.6491,0.249163,0.0958704,0.656062,68,229.076,5481
6,10000,0.1,10,0.1,[100],"[10, 10]",10,ncf,0.641182,1.11566,0.60465,,,,29,23.0845,1204884
6,10000,0.1,10,0.5,[100],"[10, 10]",10,mmcf,0.699034,0.641338,0.6478,0.248356,0.0951781,0.665849,76,228.369,5481
7,10000,0.1,10,0.1,[100],"[10, 10]",10,ncf,0.654678,1.01497,0.617,,,,28,16.2865,1204884
7,10000,0.1,10,0.5,[100],"[10, 10]",10,mmcf,0.708438,0.636232,0.6586,0.246077,0.0951877,0.664188,53,117.646,5481
8,10000,0.1,10,0.1,[100],"[10, 10]",10,ncf,0.649166,1.11774,0.60795,,,,27,22.7022,1204884
8,10000,0.1,10,0.5,[100],"[10, 10]",10,mmcf,0.705255,0.632107,0.6525,0.249235,0.0946819,0.664394,41,138.123,5481
9,10000,0.1,10,0.1,[100],"[10, 10]",10,ncf,0.637376,1.13457,0.6025,,,,25,22.0737,1204884
9,10000,0.1,10,0.5,[100],"[10, 10]",10,mmcf,0.6996,0.636668,0.6529,0.247571,0.0949854,0.66257,77,195.624,5481
