n_train,n_test,batch,pred_unknown,sig2e,beta,sig2b0,sig2b1,sig2b2,q0,q1,q2,experiment,exp_type,mse,mae,r2,frobenius,spearman,nrmse,auc_embed,metric_pre_post,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,nll_train,nll_test,n_epochs,time,n_params,encoder,decoder,patience
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,9,ignore,14.0112,2.95149,0.372978,,,,,,,,,,,,293,24.5157,231,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,9,mean-encoding,13.8991,2.93943,0.377993,,,,,,,,,,,,315,42.2226,531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,9,embeddings,12.9737,2.84256,0.419405,0.939164,0.142106,0.353509,0.550517,,,0.0102368,0.00945883,0.0109401,,,51,21.9447,300531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,9,hashing,14.228,2.97512,0.363273,,,,,,,,,,,,36,144.695,30951,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,9,regbeddings,12.91,2.83548,0.422256,0.816656,0.163772,0.307286,0.573034,,,0.100192,0.0966745,0.114181,,,172,69.4249,600531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,9,tabtransformer,21.933,3.71162,0.0184664,,,,,,,,,,,,20,74.9464,306829,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,9,unified,13.5615,2.90646,0.393102,,,,,,,,,,,,60,141.004,10486291,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,10,ignore,14.5214,2.99675,0.370886,,,,,,,,,,,,345,41.9089,231,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,10,mean-encoding,14.7565,3.02264,0.3607,,,,,,,,,,,,219,25.6711,531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,10,embeddings,13.8118,2.92043,0.401628,0.945589,0.151186,0.35246,0.645916,,,0.00818169,0.00666973,0.00789202,,,42,12.4362,300531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,10,hashing,14.9308,3.04603,0.353148,,,,,,,,,,,,41,112.507,30951,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,10,regbeddings,13.4883,2.88841,0.415644,0.791818,0.159534,0.295131,0.670118,,,0.141193,0.105087,0.144904,,,194,78.7278,600531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,10,tabtransformer,22.7143,3.78113,0.0159426,,,,,,,,,,,,19,72.7197,306829,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,10,unified,13.2436,2.86051,0.426245,,,,,,,,,,,,43,143.423,10486291,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,11,ignore,14.1653,2.97312,0.365273,,,,,,,,,,,,452,41.861,231,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,11,mean-encoding,14.2233,2.97943,0.362671,,,,,,,,,,,,390,36.4286,531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,11,embeddings,11.8491,2.71333,0.469058,0.94383,0.181653,0.356954,0.610567,,,0.007873,0.00905388,0.00713235,,,44,9.95072,300531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,11,hashing,14.3653,2.99259,0.35631,,,,,,,,,,,,46,148.103,30951,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,11,regbeddings,12.3804,2.77346,0.44525,0.821818,0.200511,0.310608,0.661377,,,0.105849,0.131252,0.0467052,,,163,69.5322,600531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,11,tabtransformer,21.7399,3.70813,0.025865,,,,,,,,,,,,20,88.8616,306829,"[100, 100]","[10, 10]",10
